video_id,comment
VOzbGEFy-cE,"Pay Attention.

Last days lawlessness will abound.

⏳⌛"
VOzbGEFy-cE,Death Penalty
VOzbGEFy-cE,Dang 50 and gone
VOzbGEFy-cE,RIP to him. That's so sad 😢 That 47 year old needs to go to prison. Way too old to be that reckless and irresponsible. Shame on him
VOzbGEFy-cE,This is completely unacceptable!! These drivers out here on Stony Island are unbelievable and reckless
VOzbGEFy-cE,🥱
VOzbGEFy-cE,"CAN YOU IMAGINE AN OLDER PERSON CROSSING THE STREET AND THEY GET HIT BY DEMONS LIKE THESE GUYS DRAG RACING,  SMH,  IMAGINE WHAT THAT WOULD DO TO A PERSONS BODY, SMH"
VOzbGEFy-cE,"GOD KNOW  THE OTHER DRIVER WHO DROVE OFF!  
ANYWAY,   YALL BETTER PRAY BEFORE YOU LEAVE YOUR HOME,  PRAY"
VOzbGEFy-cE,He killed someone what else need to be investigated 🔎 😤 wtf....
VOzbGEFy-cE,Chicago is like a Mad Max Movie. Just a lawless Satanic Demonic Crap Hole Chicago  Key Stone Cops
VOzbGEFy-cE,They were trying to carjack the Cadillac sounds more like it
VOzbGEFy-cE,"Stony island, especially on 79th is so scary. I avoid it like the plague. I pray they catch the other fool who was drag racing and that man's family can receive justice."
VOzbGEFy-cE,When will ya’ll learn 🙏🏾🙏🏾🙏🏾so sad!!!
VOzbGEFy-cE,"Runners, on your mark"
VOzbGEFy-cE,What stupidity! Probably didn’t have insurance either
VOzbGEFy-cE,Welcome to trumps America! Gangsta thugs froms dat hoods b wildin. Lordy ohh Lordy da blacks communitys b doins nuffins tos stops dis. Where b BLM?? Truffs. MAKE AMERICA TRUMPLESS AGAIN FRANKLIN. 🤘🃏🎸🥃🍺🤤💩🩸🪦🚔🦛🐈‍⬛👹😎🌛👍🇺🇸
VOzbGEFy-cE,Good u dimmyyyy
VOzbGEFy-cE,Drag racing in SUVs and non performance ones at that 🤷🏾‍♂️🤦🏽‍♂️
VOzbGEFy-cE,"RIP to the victim, my condolences to his loved ones ❤"
VOzbGEFy-cE,They have tracks for this! You mean to tell me at the age of 47 you’re not mature enough to know better!
VOzbGEFy-cE,47 and still drag racing????
